見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）　※～4月20日まで照明工事のため休館します。,,,,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14, 9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,企画展「きのくに神秘の仮面」,展示,2月1日（土）?3月8日（日）　　　,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411, 9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,冬期企画展「古墳から古代寺院へ～紀伊における儀礼の変遷を探る～」,展示,?3月1日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411, 9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,古墳ガイドツアー③,イベント,3月8日（日）13:30?15:30,,小学生以上,30人（先着順）,,2月21日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411, 9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）,連続講座「熊野」③,イベント,3月15日（日）13:30?15:30,,小学生以上,30人（先着順）,,2月28日13:00?　,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777 ,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,恐竜をさがせ!!,イベント,3月8日（日）10:00?13:00,山本地区（広川町）,小学生以上（小学生は保護者同伴）,80人（抽選）,,2月23日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777 ,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）,巨大アンモナイトをさがせ!! ,イベント,3月22日（日）13:00?16:00,栖原地区（湯浅町）,小学生以上（小学生は保護者同伴）,30人（抽選）,,3月8日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,早春の洋ラン展,イベント,2月7日（金）?9日（日）,,,,,,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,洋ランの育て方教室,イベント, 2月9日（日）9:30?12:00,,,36人（先着順）,300円,事前申込,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,第5回緑和会盆栽展,展示,2月22日（土）?24日（振休）,,,,,,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜 （祝日の場合次の平日）,春らん早咲き展,展示,3月1日（日）  ,,対象,定員,費用,申込,入場無料2月の花ごよみ　梅、ツバキ、クリスマスローズ、洋ラン、シクラメン
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,万葉館コンサート～フルート＆クラリネットアンサンブル～,イベント,2月22日（土）14:00?15:00,,3歳以上（小学生以下は保護者同伴）,50人（先着順）　,費用,申込,入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,古典学習セミナー「源氏物語の御代（みよ）代わり（全3回）」,イベント,(1)2月23日（祝）,,中学生以上 ,各20人（先着順）,各200円,事前申込 ,入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,古典学習セミナー「源氏物語の御代（みよ）代わり（全3回）」,イベント,(2)3月8日（日）,,中学生以上 ,各20人（先着順）,各200円,事前申込 ,入場無料
片男波公園万葉館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,,古典学習セミナー「源氏物語の御代（みよ）代わり（全3回）」,イベント,(3)22日（日）14:00?15:30,,中学生以上 ,各20人（先着順）,各200円,事前申込 ,入場無料
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,9:00?19:00（土日祝は18:00まで）,月曜（祝日の場合次の平日）毎月第2木曜 県立図書館,南葵（なんき）音楽文庫定期講座,イベント,2月22日（土）・23日（祝）13:30?15:30,,,各60人程度（先着順）,,事前申込,入場無料
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,9:00?19:00（土日祝は18:00まで）,月曜（祝日の場合次の平日）毎月第2木曜 県立図書館,ボランティアによる「おはなし会」,イベント, 2月15・22日（土）14:00?、3月7日（土）11:00?,,,40人（先着順）,,,入場無料
県立紀南図書館,0739-22-2061,0739-22-4773,〒646-0011田辺市新庄町3353-9（県立情報交流センターBig・U内）,9:00?19:00（土日祝は18:00まで）,月曜（祝日の場合次の平日）毎月第2木曜 県立図書館,ゆうゆうおはなし会,イベント,2月9・16日（日）・23日（祝）、3月1・8日（日）11:00?11:30  ,,,,,,入場無料
南紀熊野ジオパークセンター,0735-67-7100 ,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00,,サンゴをじっくり見てみよう,イベント,2月11日（祝）10:00?12:00、14:00?16:00  ,,,,,,入場無料
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00,火曜 , 犬・猫の飼い方講習会及び譲渡会,,(1)2月9日（日）・20日（木）・23日（祝）、3月8日（日）・13日（金）・22日（日）11:00?,(1)県動物愛護センター,,,,,"入場無料※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。"
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00,, 犬・猫の飼い方講習会及び譲渡会,,(2)2月3日（月）11:00?,(2)新宮保健所串本支所,,,,,"入場無料※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。"
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00,, 犬・猫の飼い方講習会及び譲渡会,,(3)2月27日（木）13:30?,(3)海南保健所,,,,,"入場無料※譲渡を受けるには受講と、犬については狂犬病予防ワクチン接種代2,700円が必要です。※県動物愛護センターでは譲渡会を常時開催しています。"
県動物愛護センター,073-489-6500,073-489-6504,〒640-1251紀美野町国木原372,10:00～17:00,,「高齢動物（犬・猫）のケア」に関する特別セミナー,,3月15日（日）13:30?14:30,岩出市総合保健福祉センター,,80人（先着順）,,3月14日まで,入場無料※手話通訳・要約筆記は要予約 
